Code,PELE,Tactical,Personnel,total_tilt,Total Tilt,tilt_cat
BFA,1675.4,-0.04,-0.02,-0.06,⚪ Balanced (-.06)@@0993,Balanced
CRC,1672.3,-0.09,0.11,0.02,⚪ Balanced (+.02)@@1001,Balanced
ISL,1667.4,0.16,0.12,0.28,🟠 Attacking (+.28)@@1027,Attacking
JOR,1657.7,-0.16,0.11,-0.05,⚪ Balanced (-.05)@@0994,Balanced
BOL,1656.4,0.14,0.03,0.17,🟠 Attacking (+.17)@@1016,Attacking
IRQ,1646.3,-0.26,0.09,-0.17,🟣 Defensive (-.17)@@0982,Defensive
MKD,1638.8,0.02,0.11,0.13,🟠 Attacking (+.13)@@1012,Attacking
HON,1632.3,-0.02,0.00,-0.03,⚪ Balanced (-.03)@@0996,Balanced
GUI,1632.0,-0.04,0.11,0.06,⚪ Balanced (+.06)@@1005,Balanced
HAI,1631.4,0.14,0.09,0.23,🟠 Attacking (+.23)@@1022,Attacking
NZL,1630.1,-0.01,-0.01,-0.01,⚪ Balanced (-.01)@@0998,Balanced
KSA,1628.0,-0.19,-0.04,-0.24,🟣 Defensive (-.24)@@0975,Defensive
FIN,1625.9,-0.01,0.06,0.05,⚪ Balanced (+.05)@@1004,Balanced
CPV,1619.1,-0.20,-0.08,-0.28,🟣 Defensive (-.28)@@0971,Defensive
ANG,1616.2,-0.33,0.03,-0.30,🟣 Defensive (-.30)@@0969,Defensive
JAM,1611.3,-0.26,0.04,-0.22,🟣 Defensive (-.22)@@0977,Defensive
GUA,1602.2,-0.12,-0.02,-0.14,🟣 Defensive (-.14)@@0985,Defensive
UAE,1599.8,-0.06,0.02,-0.04,⚪ Balanced (-.04)@@0995,Balanced
GAM,1599.2,-0.05,0.14,0.09,⚪ Balanced (+.09)@@1008,Balanced
BLR,1589.7,-0.04,0.00,-0.04,⚪ Balanced (-.04)@@0995,Balanced
BUL,1584.4,0.02,-0.04,-0.02,⚪ Balanced (-.02)@@0997,Balanced
SUR,1579.0,0.16,0.09,0.26,🟠 Attacking (+.26)@@1025,Attacking
CUW,1572.5,0.05,-0.03,0.03,⚪ Balanced (+.03)@@1002,Balanced
BEN,1571.8,0.01,0.10,0.11,🟠 Attacking (+.11)@@1010,Attacking
LUX,1566.7,0.08,-0.03,0.04,⚪ Balanced (+.04)@@1003,Balanced
GAB,1566.1,-0.17,0.04,-0.14,🟣 Defensive (-.14)@@0985,Defensive
NIG,1561.6,0.07,-0.11,-0.04,⚪ Balanced (-.04)@@0995,Balanced
KAZ,1559.6,0.09,0.00,0.09,⚪ Balanced (+.09)@@1008,Balanced
MNE,1555.2,0.03,0.12,0.14,🟠 Attacking (+.14)@@1013,Attacking
PLE,1551.7,-0.10,0.14,0.05,⚪ Balanced (+.05)@@1004,Balanced
SYR,1548.9,-0.05,0.04,-0.01,⚪ Balanced (-.01)@@0998,Balanced
LBY,1548.3,-0.13,-0.11,-0.24,🟣 Defensive (-.24)@@0975,Defensive
SLE,1542.4,-0.23,-0.08,-0.31,🟣 Defensive (-.31)@@0968,Defensive
QAT,1541.8,0.05,0.10,0.15,🟠 Attacking (+.15)@@1014,Attacking
UGA,1539.9,-0.33,-0.03,-0.35,🟣 Defensive (-.35)@@0964,Defensive
ZAM,1539.7,-0.27,0.12,-0.15,🟣 Defensive (-.15)@@0984,Defensive
TRI,1538.0,0.15,0.15,0.30,🟠 Attacking (+.30)@@1029,Attacking
OMA,1537.6,-0.27,0.07,-0.20,🟣 Defensive (-.20)@@0979,Defensive
COM,1537.0,-0.17,-0.02,-0.19,🟣 Defensive (-.19)@@0980,Defensive
DOM,1535.7,0.18,-0.05,0.13,🟠 Attacking (+.13)@@1012,Attacking
TOG,1534.4,-0.23,0.08,-0.15,🟣 Defensive (-.15)@@0984,Defensive
CHN,1534.2,-0.13,0.02,-0.11,🟣 Defensive (-.11)@@0988,Defensive
MOZ,1529.5,-0.07,0.08,0.01,⚪ Balanced (+.01)@@1000,Balanced
ZIM,1529.2,-0.13,-0.01,-0.13,🟣 Defensive (-.13)@@0986,Defensive
MAD,1527.4,0.08,-0.03,0.05,⚪ Balanced (+.05)@@1004,Balanced
EQG,1526.0,-0.17,-0.09,-0.26,🟣 Defensive (-.26)@@0973,Defensive
ARM,1521.9,0.17,0.07,0.24,🟠 Attacking (+.24)@@1023,Attacking
TAN,1518.8,-0.29,-0.02,-0.31,🟣 Defensive (-.31)@@0968,Defensive
KEN,1518.5,-0.17,-0.04,-0.21,🟣 Defensive (-.21)@@0978,Defensive
NCA,1509.0,0.14,0.00,0.13,🟠 Attacking (+.13)@@1012,Attacking
SDN,1506.0,-0.32,0.01,-0.31,🟣 Defensive (-.31)@@0968,Defensive
SLV,1502.4,-0.18,0.08,-0.10,🟣 Defensive (-.10)@@0989,Defensive
FRO,1496.8,-0.16,-0.08,-0.25,🟣 Defensive (-.25)@@0974,Defensive
AZE,1496.3,-0.20,-0.02,-0.22,🟣 Defensive (-.22)@@0977,Defensive
MTN,1496.3,-0.22,0.05,-0.18,🟣 Defensive (-.18)@@0981,Defensive
LVA,1492.0,-0.07,-0.09,-0.16,🟣 Defensive (-.16)@@0983,Defensive
RWA,1490.0,-0.29,-0.06,-0.35,🟣 Defensive (-.35)@@0964,Defensive
EST,1488.0,-0.06,-0.12,-0.18,🟣 Defensive (-.18)@@0981,Defensive
IDN,1486.7,0.35,-0.19,0.17,🟠 Attacking (+.17)@@1016,Attacking
CYP,1485.8,0.20,0.00,0.20,🟠 Attacking (+.20)@@1019,Attacking
BDI,1484.7,-0.17,-0.15,-0.32,🟣 Defensive (-.32)@@0967,Defensive
LTU,1484.3,-0.07,-0.07,-0.14,🟣 Defensive (-.14)@@0985,Defensive
BHR,1482.4,-0.21,0.09,-0.12,🟣 Defensive (-.12)@@0987,Defensive
GNB,1477.4,-0.13,0.17,0.04,⚪ Balanced (+.04)@@1003,Balanced
LBR,1475.4,-0.15,-0.04,-0.19,🟣 Defensive (-.19)@@0980,Defensive
THA,1475.0,0.12,0.04,0.16,🟠 Attacking (+.16)@@1015,Attacking
ETH,1468.9,-0.01,-0.04,-0.05,⚪ Balanced (-.05)@@0994,Balanced
GUY,1457.1,0.42,0.09,0.52,🟠 Very attacking (+.52)@@1051,Very attacking
LBN,1455.0,-0.16,0.07,-0.09,⚪ Balanced (-.09)@@0990,Balanced
CUB,1449.8,-0.02,0.03,0.01,⚪ Balanced (+.01)@@1000,Balanced
NAM,1447.8,-0.14,-0.01,-0.15,🟣 Defensive (-.15)@@0984,Defensive
PUR,1445.3,0.23,0.01,0.23,🟠 Attacking (+.23)@@1022,Attacking
CGO,1443.3,0.05,-0.01,0.04,⚪ Balanced (+.04)@@1003,Balanced
VIE,1439.9,0.10,0.01,0.10,🟠 Attacking (+.10)@@1009,Attacking
TJK,1439.6,0.04,-0.06,-0.02,⚪ Balanced (-.02)@@0997,Balanced
MLT,1438.1,-0.11,0.07,-0.05,⚪ Balanced (-.05)@@0994,Balanced
PRK,1435.7,-0.23,0.06,-0.16,🟣 Defensive (-.16)@@0983,Defensive
CTA,1434.1,0.27,0.00,0.27,🟠 Attacking (+.27)@@1026,Attacking
KGZ,1432.5,0.04,-0.01,0.02,⚪ Balanced (+.02)@@1001,Balanced
BOT,1428.5,-0.38,0.00,-0.38,🟣 Defensive (-.38)@@0961,Defensive
MDA,1419.0,-0.05,0.00,-0.04,⚪ Balanced (-.04)@@0995,Balanced
KUW,1414.6,0.01,0.00,0.01,⚪ Balanced (+.01)@@1000,Balanced
MWI,1400.4,-0.38,-0.02,-0.40,🟣 Very defensive (-.40)@@0959,Very defensive
MAS,1393.6,0.19,-0.03,0.16,🟠 Attacking (+.16)@@1015,Attacking
TKM,1353.4,0.07,0.04,0.12,🟠 Attacking (+.12)@@1011,Attacking
LES,1349.6,-0.33,0.02,-0.30,🟣 Defensive (-.30)@@0969,Defensive
PHI,1339.2,0.23,0.02,0.25,🟠 Attacking (+.25)@@1024,Attacking
YEM,1336.8,-0.10,0.02,-0.08,⚪ Balanced (-.08)@@0991,Balanced
VIN,1328.1,0.45,0.09,0.54,🟠 Very attacking (+.54)@@1053,Very attacking
SSD,1324.0,-0.16,0.10,-0.07,⚪ Balanced (-.07)@@0992,Balanced
CHA,1321.5,0.04,0.12,0.16,🟠 Attacking (+.16)@@1015,Attacking
NCL,1316.1,0.13,0.05,0.18,🟠 Attacking (+.18)@@1017,Attacking
SWZ,1310.6,-0.19,0.06,-0.13,🟣 Defensive (-.13)@@0986,Defensive
SOM,1306.9,-0.04,0.04,0.00,⚪ Balanced (±.00)@@0999,Balanced
ERI,1306.7,-0.16,0.09,-0.07,⚪ Balanced (-.07)@@0992,Balanced
IND,1304.9,-0.13,-0.05,-0.18,🟣 Defensive (-.18)@@0981,Defensive
GRN,1304.3,0.35,0.06,0.41,🟠 Very attacking (+.41)@@1040,Very attacking
HKG,1298.4,-0.03,-0.08,-0.11,🟣 Defensive (-.11)@@0988,Defensive
AND,1298.0,-0.56,-0.09,-0.65,🟣 Very defensive (-.65)@@0934,Very defensive
BER,1295.2,0.34,0.07,0.41,🟠 Very attacking (+.41)@@1040,Very attacking
MRI,1283.1,-0.04,-0.10,-0.15,🟣 Defensive (-.15)@@0984,Defensive
SGP,1276.7,0.15,-0.01,0.14,🟠 Attacking (+.14)@@1013,Attacking
ARU,1253.6,0.39,-0.04,0.35,🟠 Attacking (+.35)@@1034,Attacking
STP,1235.4,0.00,0.04,0.04,⚪ Balanced (+.04)@@1003,Balanced
BLZ,1227.6,-0.05,0.01,-0.04,⚪ Balanced (-.04)@@0995,Balanced
SKN,1224.8,0.28,0.02,0.29,🟠 Attacking (+.29)@@1028,Attacking
LCA,1211.4,0.26,-0.06,0.20,🟠 Attacking (+.20)@@1019,Attacking
FIJ,1206.2,0.15,0.01,0.16,🟠 Attacking (+.16)@@1015,Attacking
BRB,1193.6,0.11,0.05,0.17,🟠 Attacking (+.17)@@1016,Attacking
MSR,1187.1,0.15,-0.08,0.07,⚪ Balanced (+.07)@@1006,Balanced
DJI,1185.6,0.14,0.02,0.16,🟠 Attacking (+.16)@@1015,Attacking
GIB,1184.8,-0.13,-0.09,-0.22,🟣 Defensive (-.22)@@0977,Defensive
TAH,1179.2,0.29,0.05,0.34,🟠 Attacking (+.34)@@1033,Attacking
ATG,1178.8,0.28,-0.02,0.26,🟠 Attacking (+.26)@@1025,Attacking
PNG,1175.9,0.26,0.00,0.26,🟠 Attacking (+.26)@@1025,Attacking
LIE,1172.1,-0.10,-0.08,-0.18,🟣 Defensive (-.18)@@0981,Defensive
SOL,1165.5,0.47,0.09,0.55,🟠 Very attacking (+.55)@@1054,Very attacking
MYA,1157.8,0.30,0.00,0.30,🟠 Attacking (+.30)@@1029,Attacking
AFG,1154.7,-0.10,0.03,-0.07,⚪ Balanced (-.07)@@0992,Balanced
DMA,1148.7,0.10,-0.05,0.05,⚪ Balanced (+.05)@@1004,Balanced
VAN,1136.8,0.33,-0.04,0.30,🟠 Attacking (+.30)@@1029,Attacking
BAN,1131.8,-0.28,-0.11,-0.39,🟣 Defensive (-.39)@@0960,Defensive
TPE,1119.8,0.46,0.02,0.47,🟠 Very attacking (+.47)@@1046,Very attacking
SEY,1096.7,0.05,-0.03,0.02,⚪ Balanced (+.02)@@1001,Balanced
CAM,1096.2,0.35,0.02,0.37,🟠 Attacking (+.37)@@1036,Attacking
SMR,1086.7,-0.27,-0.05,-0.32,🟣 Defensive (-.32)@@0967,Defensive
CAY,1079.2,0.09,0.00,0.09,⚪ Balanced (+.09)@@1008,Balanced
SRI,1068.4,0.05,-0.01,0.04,⚪ Balanced (+.04)@@1003,Balanced
NEP,1065.7,-0.33,-0.04,-0.37,🟣 Defensive (-.37)@@0962,Defensive
PAK,1055.6,-0.05,-0.17,-0.22,🟣 Defensive (-.22)@@0977,Defensive
VGB,1025.4,0.27,0.00,0.27,🟠 Attacking (+.27)@@1026,Attacking
LAO,1014.6,0.41,-0.01,0.40,🟠 Very attacking (+.40)@@1039,Very attacking
BAH,1009.2,0.41,0.00,0.41,🟠 Very attacking (+.41)@@1040,Very attacking
MDV,1008.4,0.05,-0.03,0.02,⚪ Balanced (+.02)@@1001,Balanced
MNG,1002.1,0.00,-0.01,-0.01,⚪ Balanced (-.01)@@0998,Balanced
GUM,999.7,0.51,-0.04,0.47,🟠 Very attacking (+.47)@@1046,Very attacking
VIR,953.3,0.39,0.00,0.39,🟠 Attacking (+.39)@@1038,Attacking
AIA,941.6,0.28,0.00,0.28,🟠 Attacking (+.28)@@1027,Attacking
TLS,934.6,0.14,0.09,0.23,🟠 Attacking (+.23)@@1022,Attacking
TCA,918.3,0.28,0.05,0.33,🟠 Attacking (+.33)@@1032,Attacking
MAC,910.3,0.26,-0.01,0.25,🟠 Attacking (+.25)@@1024,Attacking
SAM,906.8,0.43,-0.08,0.34,🟠 Attacking (+.34)@@1033,Attacking
BRU,887.0,0.25,-0.02,0.24,🟠 Attacking (+.24)@@1023,Attacking
BHU,835.2,0.06,0.05,0.11,🟠 Attacking (+.11)@@1010,Attacking
COK,814.1,0.35,-0.05,0.30,🟠 Attacking (+.30)@@1029,Attacking
TGA,780.2,0.26,0.06,0.32,🟠 Attacking (+.32)@@1031,Attacking
ASA,715.3,0.65,0.00,0.65,🟠 Very attacking (+.65)@@1064,Very attacking
